VP,TC01,TC02,TC03,TC04,TC05,TC06,TC07,TC08,TC09,TC10,TC11,TC12
1,0,2,3,3,2,2,2,2,3,0,3,0
2,0,0,3,3,2,2,2,2,3,0,3,0
3,0,0,3,3,2,2,2,3,3,0,3,0
4,0,0,3,3,2,2,2,2,3,0,3,0
5,0,3,3,3,2,2,2,2,3,0,3,0
6,0,2,3,3,2,0,2,2,3,0,3,0
7,0,0,3,3,2,2,2,2,3,0,3,0
8,0,2,2,3,2,2,2,2,3,0,3,3
9,0,0,3,3,2,2,2,2,3,0,3,0
10,0,0,2,2,3,2,2,2,3,0,3,0
11,0,3,3,3,2,2,2,2,3,0,3,0
12,0,0,3,3,2,2,2,2,3,0,3,0
13,0,0,3,3,2,2,2,2,3,0,3,0
14,0,0,2,2,2,2,2,2,3,0,3,0
15,0,0,3,3,2,2,2,2,3,0,3,0
16,0,0,2,2,3,2,2,2,3,0,3,0
17,0,3,2,3,2,2,2,2,3,0,3,0
18,0,0,2,2,2,2,2,2,3,0,3,0
19,0,0,2,2,2,2,2,2,3,0,3,0
20,0,0,3,3,2,2,2,2,3,0,3,0
21,0,0,3,3,2,2,2,2,3,0,3,0
51,0,0,2,2,3,3,3,3,2,0,2,2
52,0,0,3,3,2,2,2,2,3,0,3,0
53,0,0,3,3,2,2,2,2,3,0,3,0
54,0,0,3,3,2,2,2,2,3,0,3,0
55,0,0,2,0,3,2,2,2,3,0,3,2
56,2,0,2,2,3,2,2,2,3,0,2,2
57,0,2,2,2,3,3,3,3,3,3,3,0
58,0,2,3,3,2,2,2,2,3,0,3,0
59,0,2,2,2,2,2,2,2,0,0,2,2
60,0,0,2,3,2,2,2,2,3,0,3,0
61,0,0,2,2,3,2,2,2,3,0,3,0
62,0,0,3,3,2,2,2,2,3,0,3,0
63,0,0,3,3,2,2,2,2,3,0,3,0
64,0,0,3,3,2,2,2,2,3,0,3,0
65,0,0,3,3,2,2,2,2,3,0,3,0
66,0,0,3,3,2,2,2,2,3,0,3,0
67,0,0,2,2,3,2,2,2,3,0,3,0
68,0,2,2,2,3,2,2,2,3,0,2,2
69,0,0,3,3,2,0,2,2,3,0,3,0
70,0,0,2,3,2,2,2,2,3,0,3,0
71,0,0,3,3,2,2,2,2,3,0,3,0
