"Test","diff_means","TOST_t1","TOST_p1","TOST_t2","TOST_p2","TOST_df","alpha","low_eqbound","high_eqbound","low_eqbound_d","high_eqbound_d","LL_CI_TOST","UL_CI_TOST","LL_CI_TTest","UL_CI_TTest","NHST_t","NHST_p"
"LevelObserved_Rep_12",0.6746532156368215,5.173941187869078,8.215863313429127e-7,-0.286043739753904,0.387789514259179,80.5444965767898,0.05,-0.7536157269768123,0.7536157269768123,-0.5,0.5,0.21530720985346197,1.133999221420181,0.12535226151820977,1.2239541697554333,2.443948724057587,0.016712159234830493
"LevelObserved_Rep_23",-0.11787665886026488,2.191601861524194,0.015638068927044647,-2.741278270097774,0.0037633360942204734,81.10922762205303,0.05,-1.0578431590009665,1.0578431590009665,-0.5,0.5,-0.8314965906184079,0.5957432728978781,-0.9712252269566789,0.7354719092361491,-0.27483820428678973,0.784139405645252
"LevelObserved_Instr_12",0.6535308953341747,4.941942937764615,1.8030019966681728e-6,-0.4937238076985469,0.31135854475123215,89.0296832455697,0.05,-0.7986063750523859,0.7986063750523859,-0.5,0.5,0.16512597778960114,1.1419358128787485,0.06968106014948483,1.2373807305188647,2.224109565033034,0.02867051866870115
"LevelObserved_Instr_23",0.1807181889149092,2.875312385216735,0.0025782094020295925,-2.0562157803808447,0.021492400646834744,80.92469659307099,0.05,-1.0880485078414146,1.0880485078414146,-0.5,0.5,-0.5534988077677263,0.9149351855975447,-0.6972675799556047,1.0587039577854231,0.40954830241794504,0.6832193703249627
"BothAllow_Observed_12",1.923392181588902,7.172288863673728,2.6259689681682345e-10,1.6880317560956362,0.952139104575445,72.17974172444683,0.05,-1.190518683827679,1.190518683827679,-0.5,0.5,1.1999799303236744,2.6468044328541294,1.0579496575438312,2.7888347056339726,4.430160309884682,3.2887918714552275e-5
"BothAllow_Observed_23",0.128805620608901,2.6782399227883853,0.004433824115984003,-2.2900521151340065,0.012235156678797782,85.85177724233101,0.05,-1.6485420888865905,1.6485420888865905,-0.5,0.5,-0.9746683070097686,1.2322795482275706,-1.1904702609351439,1.4480815021529458,0.19409390382718925,0.8465608803750714
"EmailsAllow_Observed_12",0.75,6.219640495126447,1.4421853353023683e-8,0.7359103659031537,0.7679178765085972,72.35729630361931,0.05,-0.5912971781948367,0.5912971781948367,-0.5,0.5,0.39067839757420153,1.1093216024257986,0.32013568497467815,1.1798643150253219,3.4777754305148005,8.594600707013827e-4
"EmailsAllow_Observed_23",0.1904761904761898,2.938450745673084,0.0022051162779394245,-1.9364986354770635,0.028334834477521997,73.15177521143367,0.05,-0.9267526635620099,0.9267526635620099,-0.5,0.5,-0.4429356226436063,0.8238880035959859,-0.5672550972585498,0.9482074782109294,0.5009760550980106,0.6178921283311627
"HandsOffAllow_Observed_12",1.173392181588902,7.468861783388706,8.960926583736367e-11,1.9767040649763077,0.9739792421290154,69.54707835358963,0.05,-0.6822730401010075,0.6822730401010075,-0.5,0.5,0.7592051855276581,1.5875791776501456,0.6778104599908823,1.6689739031869215,4.722782924182507,1.1705602127149507e-5
"HandsOffAllow_Observed_23",-0.06167056986729058,2.3332273474893346,0.010930811402754405,-2.66907063843764,0.004510412079485195,90.12462077079928,0.05,-0.9185670095330314,0.9185670095330314,-0.5,0.5,-0.6720303174065402,0.548689177671959,-0.7912789695697083,0.6679378298351272,-0.1679216454741526,0.8670211689857905
"TransProblems_12",-0.3389029003783102,0.5677718962071,0.2856778153805435,-4.791537927589358,2.6250144342016247e-6,109.17721096509777,0.05,-0.4300156850108948,0.4300156850108948,-0.5,0.5,-0.6051185532980563,-0.07268724745856414,-0.6569519064883396,-0.02085389426828088,-2.111883015691129,0.03697743351218873
"TransProblems_23",0.3672911787665886,4.911118897994407,1.7532933210375448e-6,-0.2749217078289729,0.3919698066180021,100.70742655157488,0.05,-0.4108511543220822,0.4108511543220822,-0.5,0.5,0.10425259538907522,0.630329762144102,0.05296780961054204,0.6816145479226352,2.318098595082717,0.022466273860914057
"AvailImplem_Rep_12",0.7660781841109703,5.288986907110952,3.275113312426369e-7,-0.08247309071907008,0.4672121309853075,107.23600512933311,0.05,-0.7903481036018856,0.7903481036018856,-0.5,0.5,0.2778177739485516,1.254338594273389,0.18272337687390894,1.3494329913480316,2.603256908195941,0.010541549859238886
"AvailImplem_Rep_23",0.02146760343481624,2.542192231636915,0.006402883393672325,-2.427814736723157,0.008636622106508658,86.0753603742959,0.05,-0.9328245800931018,0.9328245800931018,-0.5,0.5,-0.6026979979993028,0.6456332048689353,-0.7247569960877049,0.7676922029573374,0.057188747456879074,0.9545273911984014
